17:29:25 | INFO     | tda_longevity.test   | logging module OK
17:29:25 | WARNING  | tda_longevity.test   | warning test
17:30:04 | INFO     | tda_longevity.v      | ok
17:30:21 | INFO     | tda_longevity.v      | ok
18:04:15 | INFO     | tda_longevity.test_config | test message
18:04:35 | INFO     | tda_longevity.test_config | test message
18:05:00 | INFO     | tda_longevity.test_config | test message
18:05:27 | INFO     | tda_longevity.test_config | test message
18:10:31 | INFO     | tda_longevity.aging_scores | PhenoAge mean: 62.6 yrs
18:10:31 | INFO     | tda_longevity.aging_scores | Age accel mean: 12.58 yrs
18:10:31 | INFO     | tda_longevity.aging_scores | Groups: {'normal': 2, 'accelerated': 1}
18:10:31 | INFO     | tda_longevity.aging_scores | PhenoAge mean: 63.2 yrs
18:10:31 | INFO     | tda_longevity.aging_scores | Age accel mean: 13.20 yrs
18:10:31 | INFO     | tda_longevity.aging_scores | Groups: {'normal': 53, 'accelerated': 47}
18:10:31 | INFO     | tda_longevity.benchmark_utils | Wrapped 'TDA-LR' as aging clock
18:10:31 | INFO     | tda_longevity.benchmark_utils | Wrapped 'TDA' as aging clock
18:10:31 | INFO     | tda_longevity.benchmark_utils | Comparison complete (1 models)
18:10:31 | INFO     | tda_longevity.benchmark_utils | Wrapped 'TDA' as aging clock
18:10:31 | INFO     | tda_longevity.test_config | test message
18:10:31 | INFO     | tda_longevity.topo_format | Saved to C:\Users\brand\AppData\Local\Temp\tmp08if74be\test.topo (536 bytes)
18:10:31 | INFO     | tda_longevity.topo_format | Saved to C:\Users\brand\AppData\Local\Temp\tmph9iburro\test.topo (318 bytes)
18:10:31 | INFO     | tda_longevity.topo_format | Saved to C:\Users\brand\AppData\Local\Temp\tmpup9nbuh7\test.topo (605 bytes)
18:10:31 | INFO     | tda_longevity.validation | Split: 80 discovery / 20 validation
18:10:43 | INFO     | tda_longevity.data_utils | Group assignment: {'neutral': 4, 'accelerated': 3, 'resilient': 3}
18:10:43 | INFO     | tda_longevity.data_utils | Generated synthetic 'circle' data: 10 samples × 50 features
18:12:52 | INFO     | tda_longevity.__main__ | ============================================================
18:12:52 | INFO     | tda_longevity.__main__ |   STEP 1: Generating synthetic multi-omics data (circle topology)
18:12:52 | INFO     | tda_longevity.__main__ | ============================================================
18:12:52 | INFO     | tda_longevity.data_utils | Group assignment: {'neutral': 78, 'accelerated': 61, 'resilient': 61}
18:12:52 | INFO     | tda_longevity.data_utils | Generated synthetic 'circle' data: 200 samples × 50 features
18:12:52 | INFO     | tda_longevity.__main__ |   122 samples, 50 features, 61 resilient, 61 accelerated
18:12:52 | INFO     | tda_longevity.__main__ | ============================================================
18:12:52 | INFO     | tda_longevity.__main__ |   STEP 2: Computing persistent homology
18:12:52 | INFO     | tda_longevity.__main__ | ============================================================
18:12:52 | INFO     | tda_longevity.__main__ |   H0: 0 features, mean_lifetime=0.0000
18:12:52 | INFO     | tda_longevity.__main__ |   H1: 0 features, mean_lifetime=0.0000
18:12:52 | INFO     | tda_longevity.__main__ | ============================================================
18:12:52 | INFO     | tda_longevity.__main__ |   STEP 3: Extracting persistence images
18:12:52 | INFO     | tda_longevity.__main__ | ============================================================
18:12:52 | INFO     | tda_longevity.__main__ |   Persistence images: (122, 400)
18:12:52 | INFO     | tda_longevity.__main__ | ============================================================
18:12:52 | INFO     | tda_longevity.__main__ |   STEP 4: Training topological classifier
18:12:52 | INFO     | tda_longevity.__main__ | ============================================================
18:12:57 | INFO     | tda_longevity.__main__ |   roc_auc: 0.5000 ± 0.0000
18:12:57 | INFO     | tda_longevity.__main__ |   accuracy: 0.4920 ± 0.0098
18:12:57 | INFO     | tda_longevity.__main__ |   precision: 0.3960 ± 0.1982
18:12:57 | INFO     | tda_longevity.__main__ |   recall: 0.8000 ± 0.4000
18:12:57 | INFO     | tda_longevity.__main__ |   f1: 0.5297 ± 0.2650
18:12:57 | INFO     | tda_longevity.__main__ | ============================================================
18:12:57 | INFO     | tda_longevity.__main__ |   STEP 5: Generating publication figure
18:12:57 | INFO     | tda_longevity.__main__ | ============================================================
18:12:57 | WARNING  | tda_longevity.__main__ | matplotlib not available — skipping figure generation
18:12:57 | INFO     | tda_longevity.__main__ | ============================================================
18:12:57 | INFO     | tda_longevity.__main__ |   DEMO COMPLETE
18:12:57 | INFO     | tda_longevity.__main__ | ============================================================
18:12:57 | INFO     | tda_longevity.__main__ |   Data: 122 samples × 50 features (circle topology)
18:12:57 | INFO     | tda_longevity.__main__ |   H1 cycles: 0
18:12:57 | INFO     | tda_longevity.__main__ |   Best AUC: 0.0000
18:12:57 | INFO     | tda_longevity.__main__ |   Outputs: results/figures/demo_pipeline.png
18:12:57 | INFO     | tda_longevity.__main__ |            results/tables/demo_metrics.csv
18:12:57 | INFO     | tda_longevity.__main__ | ============================================================
